Motif Name (# sites) [values are natural log, + values for divergence]	   Dpm1 (1140)	Dpm2 (900)	Dpm3 (3392)	Dpm4 (684)	Dpm5 (785)	Dpm6 (16)	Dpm7 (522)	Dpm8 (412)
   Dpm1 (1140)	-1.29577925026887	6.76923082978749	-0.936763788160916	3.10611126740236	-6.99339626215535	1.72414803877229	-7.22633361831716	-2.96818267774551
Dpm2 (900)	6.76923082978749	14.4116271818454	-6.50808218413329	5.32611417568784	9.92951768724712	-13.2555174664585	1.08312575964158	4.91241475542842
Dpm3 (3392)	-0.936763788160916	-6.50808218413329	1.23593717606775	0.847387897505078	6.4860741076039	-5.02152456813562	1.72464228762596	1.86472123978896
Dpm4 (684)	3.10611126740236	5.32611417568784	0.847387897505078	0.823517878594517	-2.6791612916145	1.03445510736666	-3.66695612505154	-1.76333897213999
Dpm5 (785)	-6.99339626215535	9.92951768724712	6.4860741076039	-2.6791612916145	0.690124430436848	1.18721216766537	-1.13872917573047	5.20177294477666
Dpm6 (16)	1.72414803877229	-13.2555174664585	-5.02152456813562	1.03445510736666	1.18721216766537	1.0000472622596	1.0000472622596	1.0000472622596
Dpm7 (522)	-7.22633361831716	1.08312575964158	1.72464228762596	-3.66695612505154	-1.13872917573047	1.0000472622596	-2.08016899796615	-5.13328963537009
Dpm8 (412)	-2.96818267774551	4.91241475542842	1.86472123978896	-1.76333897213999	5.20177294477666	1.0000472622596	-5.13328963537009	-1.58638608878859
