"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_17_868196_868532_+" 0 0 0 0 0
"scaffold_17_878840_878851_+" 0 0 0 0 0
"scaffold_17_888664_888731_+" -1 0 1 0 0
"scaffold_17_890818_890973_+" -1 0 1 0 0
"scaffold_17_892129_892194_+" 0 0 0 0 0
"scaffold_17_892994_893104_+" 0 0 0 0 0
"scaffold_17_904900_904929_+" 0 0 0 0 0
"scaffold_17_947212_947274_+" 1 -1 0 1 0
"scaffold_17_947629_947653_+" 1 -1 0 1 0
"scaffold_17_965427_965480_+" 0 0 0 0 0
"scaffold_17_970390_970486_+" 0 0 0 0 0
"scaffold_17_986787_986949_+" 0 0 0 0 0
"scaffold_17_1013555_1013672_+" 0 0 0 0 0
"scaffold_17_1018211_1018327_+" 1 0 0 0 0
"scaffold_17_1019513_1019677_+" 1 -1 0 1 0
"scaffold_17_1023434_1023466_+" -1 1 0 -1 0
"scaffold_17_1048293_1048450_+" 1 -1 0 1 0
"scaffold_17_1051317_1051467_+" 0 0 0 0 0
"scaffold_17_1052314_1052361_+" 0 0 0 0 0
"scaffold_17_1054668_1054834_+" 0 0 0 0 0
"scaffold_17_1097344_1097393_+" 0 0 0 0 0
"scaffold_17_1118909_1119129_+" 0 0 0 0 0
"scaffold_17_1119338_1119535_+" 0 0 0 0 0
"scaffold_17_1119815_1119946_+" 0 0 0 0 0
"scaffold_17_1136854_1137028_+" 0 0 0 0 0
"scaffold_17_1139030_1139350_+" 0 0 0 0 0
"scaffold_17_1145024_1145080_+" 0 0 0 0 0
"scaffold_17_1154296_1154318_+" 0 0 0 0 0
"scaffold_17_1160218_1160441_+" 0 0 0 0 0
"scaffold_17_1160542_1160727_+" 0 0 0 0 0
"scaffold_17_1164595_1164692_+" -1 0 0 -1 0
"scaffold_17_1164828_1164941_+" 0 0 0 0 0
"scaffold_17_1166945_1167048_+" 0 0 0 0 0
"scaffold_17_1168693_1168781_+" -1 0 0 -1 0
"scaffold_17_1202149_1202170_+" 0 0 0 0 0
"scaffold_17_1203694_1203812_+" 0 0 -1 0 0
"scaffold_17_1206342_1206457_+" -1 1 0 -1 0
"scaffold_17_1206568_1206808_+" 1 0 -1 0 0
"scaffold_17_1236780_1236800_+" 1 -1 0 1 0
"scaffold_17_1258662_1258809_+" 0 0 0 0 0
"scaffold_17_1281639_1281698_+" 0 1 -1 -1 -1
"scaffold_17_1297068_1297148_+" 1 -1 0 1 0
"scaffold_17_1303822_1304080_+" 0 0 0 0 0
"scaffold_17_1324453_1324553_+" 0 0 0 0 0
"scaffold_17_1324584_1324701_+" 0 0 -1 0 0
"scaffold_17_1358014_1358092_+" 1 -1 0 1 0
"scaffold_17_1358140_1358300_+" 1 0 0 1 0
"scaffold_17_1358422_1358549_+" 1 0 0 1 0
"scaffold_17_1373387_1373541_+" 0 0 0 0 0
"scaffold_17_1385986_1386110_+" 0 0 0 0 0
"scaffold_17_1386892_1387054_+" 0 0 0 0 0
"scaffold_17_1388535_1388659_+" 0 0 0 0 0
"scaffold_17_1402160_1402173_+" 0 0 0 0 0
"scaffold_17_1407279_1407354_+" 0 0 0 0 0
"scaffold_17_1409193_1409271_+" 0 0 0 0 0
"scaffold_17_1409435_1409721_+" 0 0 0 0 0
"scaffold_17_1413907_1414042_+" 0 0 0 0 0
"scaffold_17_1419180_1419376_+" 0 0 0 0 0
"scaffold_17_1423404_1423599_+" 0 0 0 0 0
"scaffold_17_1424184_1424318_+" 0 0 0 0 0
"scaffold_17_1424412_1424579_+" 0 0 0 0 0
"scaffold_17_1424666_1424785_+" 0 0 0 0 0
"scaffold_17_1424900_1425172_+" 0 0 0 0 0
"scaffold_17_1425277_1425400_+" 0 0 0 0 0
"scaffold_17_1425488_1425769_+" 0 0 0 0 0
"scaffold_17_1427739_1427926_+" 0 0 0 0 0
"scaffold_17_1454080_1454169_+" 0 0 -1 0 -1
"scaffold_17_1456715_1456759_+" 0 0 0 0 0
"scaffold_17_1460548_1460616_+" 0 1 -1 0 -1
"scaffold_17_13209_13225_-" 0 0 0 1 0
"scaffold_17_23251_23439_-" 0 0 0 0 0
"scaffold_17_58389_58493_-" 1 -1 0 1 0
"scaffold_17_66563_66653_-" 0 0 0 0 0
"scaffold_17_72247_72298_-" 0 0 0 0 0
"scaffold_17_169933_170023_-" 0 0 0 0 0
"scaffold_17_185935_186042_-" 0 0 0 0 0
"scaffold_17_229480_229513_-" 0 0 0 0 0
"scaffold_17_237522_237610_-" 1 0 0 0 0
"scaffold_17_238114_238197_-" 0 0 0 0 0
"scaffold_17_250107_250408_-" 0 0 0 0 0
"scaffold_17_365074_365259_-" 0 0 0 0 0
"scaffold_17_378455_378550_-" 1 0 -1 0 0
"scaffold_17_391515_391667_-" -1 0 0 -1 0
"scaffold_17_392264_392558_-" 0 0 0 0 0
"scaffold_17_392417_392727_-" 0 0 0 0 0
"scaffold_17_393660_393869_-" 0 0 0 0 0
"scaffold_17_394113_394211_-" 0 0 0 0 0
"scaffold_17_394384_394534_-" 0 0 0 0 0
"scaffold_17_404169_404233_-" -1 0 0 0 0
"scaffold_17_420930_420969_-" 0 0 0 0 0
"scaffold_17_434727_434841_-" 0 0 0 0 0
"scaffold_17_441617_441759_-" 1 0 -1 0 -1
"scaffold_17_465156_465280_-" 0 0 0 0 0
"scaffold_17_466096_466335_-" 0 0 0 0 0
"scaffold_17_491535_491587_-" 0 0 0 0 0
"scaffold_17_581505_581675_-" 0 0 0 0 0
"scaffold_17_583130_583295_-" 0 0 0 0 0
"scaffold_17_613783_613804_-" 0 0 0 0 0
"scaffold_17_620968_621015_-" 1 0 0 1 0
"scaffold_17_649148_649412_-" 0 0 1 0 0
"scaffold_17_649586_649773_-" -1 1 0 -1 0
"scaffold_17_658948_659122_-" -1 0 0 -1 0
"scaffold_17_662866_663075_-" 0 0 0 0 0
"scaffold_17_674797_674898_-" 0 0 0 0 0
"scaffold_17_682432_682622_-" 0 0 0 0 0
"scaffold_17_718979_719032_-" 0 0 0 0 0
"scaffold_17_733321_733340_-" 1 0 -1 0 0
"scaffold_17_767069_767228_-" -1 1 0 -1 0
"scaffold_17_777128_777147_-" 0 0 0 0 0
"scaffold_17_777711_777762_-" -1 0 0 -1 0
"scaffold_17_786577_786673_-" 0 0 0 0 0
"scaffold_17_788844_788958_-" -1 1 0 -1 0
"scaffold_17_799227_799281_-" 0 0 0 0 0
"scaffold_17_801674_801722_-" 0 0 0 0 0
"scaffold_17_811098_811281_-" 0 0 0 0 0
"scaffold_17_815546_815613_-" 0 0 0 0 0
"scaffold_17_818590_818734_-" 0 0 0 0 0
"scaffold_17_824400_824512_-" 0 0 0 0 0
"scaffold_17_827930_828192_-" 0 0 0 0 0
"scaffold_17_831805_831986_-" 0 0 0 0 0
"scaffold_17_835388_835552_-" 0 0 0 0 0
"scaffold_17_841597_841622_-" 0 0 0 0 0
"scaffold_17_847343_847382_-" 0 0 0 0 0
"scaffold_17_899242_899393_-" 0 0 0 0 0
"scaffold_17_899748_899938_-" 0 0 0 0 0
"scaffold_17_900726_900782_-" 0 0 0 0 0
"scaffold_17_904463_904629_-" 0 0 0 0 0
"scaffold_17_907886_907906_-" 0 0 0 0 0
"scaffold_17_910412_910475_-" 0 0 0 0 0
"scaffold_17_938377_938513_-" 1 0 0 1 0
"scaffold_17_946360_946424_-" 0 0 0 0 0
"scaffold_17_959049_959081_-" 0 0 0 0 0
"scaffold_17_970163_970216_-" 0 0 0 0 0
"scaffold_17_978547_978832_-" 0 0 0 0 0
"scaffold_17_1083335_1083464_-" 0 0 0 0 0
"scaffold_17_1093299_1093438_-" 0 0 0 0 0
"scaffold_17_1096870_1097269_-" 0 0 0 0 0
"scaffold_17_1103618_1103652_-" 0 0 0 0 0
"scaffold_17_1116105_1116282_-" 0 0 0 0 0
"scaffold_17_1129462_1129968_-" 0 0 0 0 0
"scaffold_17_1159609_1159677_-" 1 0 -1 0 0
"scaffold_17_1177863_1177908_-" 0 0 -1 0 -1
"scaffold_17_1215869_1215883_-" 1 0 0 1 0
"scaffold_17_1222116_1222169_-" 1 0 0 0 0
"scaffold_17_1262262_1262333_-" 0 0 0 0 0
"scaffold_17_1280798_1280873_-" 1 -1 0 1 0
"scaffold_17_1295436_1295474_-" 1 -1 0 1 0
"scaffold_17_1296099_1296143_-" 1 -1 0 1 0
"scaffold_17_1303452_1303643_-" 0 0 0 0 0
"scaffold_17_1307186_1307760_-" 0 0 0 0 0
"scaffold_17_1322058_1322093_-" 0 0 0 0 0
"scaffold_17_1366844_1366855_-" 0 0 0 0 0
"scaffold_17_1382982_1383187_-" 0 0 0 0 0
"scaffold_17_1385845_1385989_-" 0 0 0 0 0
"scaffold_17_1445968_1446016_-" 0 0 0 0 0
"scaffold_17_1453201_1453298_-" 0 1 -1 0 -1
"scaffold_17_1460402_1460422_-" 0 0 -1 0 -1
"scaffold_170_143699_143715_+" 0 0 0 0 0
"scaffold_170_144293_144402_+" 0 0 0 0 0
"scaffold_170_167578_167682_+" -1 0 1 0 1
"scaffold_170_170555_170738_+" -1 1 0 -1 0
"scaffold_170_113376_113760_-" 0 0 0 0 0
"scaffold_170_113856_114092_-" 0 1 0 0 0
"scaffold_170_114162_114336_-" 0 0 0 0 0
"scaffold_170_116115_116377_-" 0 0 0 0 0
"scaffold_170_116763_116804_-" 0 0 0 0 0
"scaffold_170_123227_123237_-" -1 0 1 0 1
"scaffold_170_170136_170245_-" 0 0 0 0 0
"scaffold_171_53332_53573_+" 1 -1 0 1 0
"scaffold_171_107138_107279_+" 0 0 0 0 0
"scaffold_171_120166_120311_+" 0 0 0 0 0
"scaffold_171_144253_144509_+" 0 0 0 0 0
"scaffold_171_148807_148879_+" 0 0 0 0 0
"scaffold_171_172283_172336_+" 0 0 0 0 0
"scaffold_171_214806_214965_+" 0 0 0 0 0
"scaffold_171_109463_109655_-" 0 0 0 0 0
"scaffold_171_117272_117482_-" 0 0 0 0 0
"scaffold_171_119803_119898_-" 0 0 0 0 0
"scaffold_171_165757_165907_-" -1 0 0 0 0
"scaffold_171_171340_171527_-" 0 0 0 0 0
"scaffold_171_220715_220936_-" 0 0 0 0 0
"scaffold_1714_257_334_-" 0 0 0 0 0
"scaffold_1714_429_573_-" 0 0 0 0 0
"scaffold_1714_3610_3791_-" 0 0 0 0 0
"scaffold_1716_95_372_+" 0 0 0 0 0
"scaffold_172_130291_130369_+" 0 -1 0 0 0
"scaffold_172_203380_203629_-" -1 0 0 0 0
"scaffold_1720_84_178_+" 0 0 0 0 0
"scaffold_173_47453_47477_+" 0 0 0 1 0
"scaffold_173_48224_48262_+" 1 -1 0 1 0
"scaffold_173_52111_52122_+" 0 0 0 0 0
"scaffold_173_86786_86984_+" 0 0 0 0 0
"scaffold_173_120636_120753_+" 0 0 0 0 0
"scaffold_173_123580_123867_+" 0 0 0 0 0
"scaffold_173_128272_128435_+" -1 1 0 -1 0
"scaffold_173_131993_132263_+" 0 0 0 0 0
"scaffold_173_44850_44908_-" 1 0 0 1 0
"scaffold_173_74010_74070_-" -1 1 0 -1 0
"scaffold_173_79363_79657_-" 0 0 0 0 0
"scaffold_173_80703_80733_-" 0 0 0 0 0
"scaffold_173_86479_86634_-" 0 0 0 0 0
"scaffold_173_115630_115693_-" 0 0 0 0 0
"scaffold_173_116943_117007_-" 0 0 0 0 0
"scaffold_173_117331_117709_-" 0 0 0 0 0
"scaffold_173_118291_118418_-" 0 0 0 0 0
"scaffold_173_118607_118800_-" 0 0 0 0 0
"scaffold_173_136370_136542_-" 0 0 0 0 0
"scaffold_173_150382_150512_-" 0 -1 0 1 0
"scaffold_173_150682_150772_-" 0 0 0 1 0
"scaffold_173_151435_151527_-" 1 -1 0 1 0
"scaffold_173_158317_158355_-" 0 0 0 0 0
"scaffold_173_163620_163782_-" -1 0 0 -1 0
"scaffold_173_175200_175231_-" 0 0 -1 0 -1
"scaffold_173_228536_228635_-" 1 0 -1 0 0
"scaffold_174_52978_53046_+" 0 0 0 0 0
"scaffold_174_58544_58573_+" 0 0 0 0 0
"scaffold_174_76831_76907_+" 1 0 -1 1 0
"scaffold_174_79214_79238_+" 1 0 -1 0 0
"scaffold_174_89075_89299_+" 0 0 0 0 0
"scaffold_174_95540_95700_+" -1 0 0 0 0
"scaffold_174_101120_101475_+" 0 0 0 0 0
"scaffold_174_58457_58489_-" 0 0 0 0 0
"scaffold_174_61276_61775_-" 0 0 0 0 0
"scaffold_174_73392_73640_-" 0 0 0 0 0
"scaffold_174_84473_84582_-" 0 0 0 0 0
"scaffold_174_87473_87650_-" 0 0 0 0 0
"scaffold_174_104946_105127_-" 0 0 0 0 0
"scaffold_174_106643_106816_-" -1 0 0 0 0
"scaffold_174_121817_121992_-" 0 0 0 0 0
"scaffold_174_124349_124707_-" 0 0 0 0 0
"scaffold_174_126927_126955_-" 0 0 0 0 0
"scaffold_174_175125_175299_-" -1 1 1 -1 0
"scaffold_175_160272_160301_-" 0 0 0 0 0
"scaffold_176_8056_8200_+" 0 0 0 0 0
"scaffold_176_10104_10144_-" 0 0 0 0 0
"scaffold_176_11548_11733_-" 0 0 0 0 0
"scaffold_176_12023_12059_-" 0 0 0 0 0
"scaffold_177_198947_199056_-" -1 0 0 -1 0
"scaffold_177_203282_203370_-" 0 0 0 0 0
"scaffold_178_147228_147423_+" 0 0 0 0 0
"scaffold_178_149101_149232_+" 0 0 0 0 0
"scaffold_178_150980_151091_+" 1 0 0 1 0
"scaffold_178_155642_155741_-" 1 -1 0 1 0
"scaffold_18_17615_17633_+" 0 0 0 0 0
"scaffold_18_25284_25410_+" 0 0 0 0 0
"scaffold_18_29729_29871_+" 0 0 0 0 0
"scaffold_18_43015_43105_+" 0 0 0 0 0
"scaffold_18_50217_50294_+" 0 0 0 0 0
"scaffold_18_54794_54804_+" 0 0 0 0 0
"scaffold_18_59924_59972_+" 0 0 0 0 0
"scaffold_18_60115_60289_+" 0 0 0 0 0
"scaffold_18_114808_114900_+" -1 0 0 0 0
"scaffold_18_119021_119088_+" 0 0 0 0 0
"scaffold_18_254556_254602_+" 0 0 0 0 0
"scaffold_18_256027_256217_+" 1 0 0 1 0
"scaffold_18_277576_277701_+" -1 0 0 0 0
"scaffold_18_285370_285497_+" 0 0 0 0 0
"scaffold_18_290178_290250_+" 1 -1 0 1 0
"scaffold_18_295887_296020_+" -1 1 0 -1 0
"scaffold_18_308770_308788_+" -1 1 1 -1 0
"scaffold_18_315575_315615_+" 0 1 -1 -1 -1
"scaffold_18_334504_334559_+" -1 1 0 -1 0
"scaffold_18_358432_358474_+" 1 0 0 0 0
"scaffold_18_381682_381690_+" 0 0 0 0 0
"scaffold_18_435817_435909_+" 1 0 -1 0 -1
"scaffold_18_441184_441242_+" 0 0 0 0 0
"scaffold_18_487097_487110_+" 0 0 0 0 0
"scaffold_18_510139_510191_+" 0 0 0 0 0
"scaffold_18_510371_510648_+" 0 0 0 0 0
"scaffold_18_510764_510977_+" 0 0 0 0 0
"scaffold_18_514078_514434_+" 0 0 0 0 0
"scaffold_18_595899_596076_+" -1 1 0 -1 0
"scaffold_18_614477_614536_+" 0 0 -1 0 -1
"scaffold_18_650937_651074_+" 0 0 -1 0 0
"scaffold_18_652715_652876_+" 0 0 0 0 0
"scaffold_18_820663_820730_+" 1 0 -1 0 -1
"scaffold_18_820860_820929_+" 1 0 0 1 0
"scaffold_18_821049_821169_+" 0 0 0 0 0
"scaffold_18_823623_823738_+" 0 0 0 0 0
"scaffold_18_828709_828864_+" 1 0 -1 1 0
"scaffold_18_829004_829063_+" 1 0 0 0 0
"scaffold_18_877064_877317_+" 0 0 0 0 0
"scaffold_18_877596_877721_+" 0 0 0 0 0
"scaffold_18_887655_887823_+" 0 0 0 0 0
"scaffold_18_929945_929959_+" 0 0 0 0 0
"scaffold_18_1013196_1013332_+" 0 0 0 0 0
"scaffold_18_1015005_1015035_+" 0 0 0 0 0
"scaffold_18_1019590_1019599_+" 1 0 0 1 0
"scaffold_18_1025401_1025546_+" 0 0 0 0 0
"scaffold_18_1108627_1108859_+" -1 1 0 -1 0
"scaffold_18_1152331_1152583_+" 0 0 0 0 0
"scaffold_18_1169118_1169134_+" 0 0 0 0 0
"scaffold_18_1170913_1170978_+" 0 0 0 0 0
"scaffold_18_1182065_1182182_+" -1 1 0 -1 0
"scaffold_18_1225145_1225218_+" 0 0 0 0 0
"scaffold_18_1232476_1232505_+" 0 0 0 0 0
"scaffold_18_1274407_1274441_+" 0 0 0 0 0
"scaffold_18_1284953_1285022_+" 0 0 0 0 0
"scaffold_18_1288995_1289192_+" 0 0 -1 0 0
"scaffold_18_1289593_1289689_+" 0 0 0 0 0
"scaffold_18_1289966_1290071_+" 0 0 0 0 0
"scaffold_18_1290176_1290443_+" 0 0 0 0 0
"scaffold_18_1292935_1292964_+" 0 0 0 0 0
"scaffold_18_1381351_1381451_+" 0 0 0 0 0
"scaffold_18_1387385_1387574_+" 0 0 0 0 0
"scaffold_18_1420822_1421057_+" 0 0 0 0 0
"scaffold_18_38790_38890_-" 1 -1 0 1 0
"scaffold_18_49877_50164_-" 0 0 0 0 0
"scaffold_18_98706_98738_-" 0 0 0 0 0
"scaffold_18_103992_104283_-" 0 0 0 0 0
"scaffold_18_107084_107113_-" 0 0 0 0 0
"scaffold_18_113507_113554_-" 1 -1 0 1 0
"scaffold_18_142082_142109_-" -1 1 0 -1 0
"scaffold_18_247268_247555_-" -1 0 0 0 0
"scaffold_18_269603_269665_-" 0 0 0 0 0
"scaffold_18_284868_285103_-" 0 0 0 0 0
"scaffold_18_334189_334298_-" 0 0 0 0 0
"scaffold_18_338038_338432_-" 0 0 0 0 0
"scaffold_18_339159_339275_-" 0 0 0 0 0
"scaffold_18_339539_339728_-" 0 0 0 0 0
"scaffold_18_341603_341684_-" 0 0 -1 0 0
"scaffold_18_343351_343478_-" 0 0 -1 0 0
"scaffold_18_369519_369698_-" 0 0 0 0 0
"scaffold_18_404564_405147_-" 0 0 0 0 0
"scaffold_18_405251_405406_-" 0 0 0 0 0
"scaffold_18_405507_405623_-" 0 0 0 0 0
"scaffold_18_411711_411924_-" 0 0 0 0 0
"scaffold_18_412545_412612_-" 0 0 0 0 0
"scaffold_18_416723_417092_-" 0 0 0 0 0
"scaffold_18_417679_417862_-" 0 0 0 0 0
"scaffold_18_422918_423025_-" 1 0 0 1 0
"scaffold_18_423222_423280_-" 0 0 0 1 0
"scaffold_18_423504_423527_-" 0 0 0 0 0
"scaffold_18_452397_452782_-" 0 1 -1 -1 -1
"scaffold_18_452965_453082_-" -1 1 -1 -1 -1
"scaffold_18_480339_480505_-" 1 -1 0 1 0
"scaffold_18_480801_480818_-" 0 0 0 0 0
"scaffold_18_480947_480982_-" 1 0 0 1 0
"scaffold_18_490608_490717_-" 0 0 0 0 0
"scaffold_18_518856_518875_-" 0 0 0 0 0
"scaffold_18_523682_523690_-" 1 -1 0 1 0
"scaffold_18_539578_539637_-" 1 0 -1 0 -1
"scaffold_18_590275_590285_-" 0 0 0 0 0
"scaffold_18_602186_602489_-" -1 0 0 0 0
"scaffold_18_609767_609836_-" 0 0 0 1 0
"scaffold_18_623713_623738_-" 0 0 0 0 0
"scaffold_18_700349_700424_-" 1 -1 0 1 0
"scaffold_18_716310_716320_-" 0 0 0 0 0
"scaffold_18_725428_725549_-" 1 -1 0 1 0
"scaffold_18_728315_728373_-" 1 -1 0 1 0
"scaffold_18_805720_805830_-" 0 0 0 0 0
"scaffold_18_808495_808628_-" 0 0 0 0 0
"scaffold_18_808910_809104_-" 0 0 0 0 0
"scaffold_18_813889_813957_-" 0 1 -1 0 -1
"scaffold_18_818084_818252_-" 0 0 0 0 0
"scaffold_18_884017_884041_-" 0 0 0 0 0
"scaffold_18_928021_928139_-" 1 0 -1 0 0
"scaffold_18_929270_929392_-" 0 0 0 0 0
"scaffold_18_938031_938106_-" 0 0 0 0 0
"scaffold_18_939496_939562_-" 0 0 0 0 0
"scaffold_18_940604_940699_-" 0 0 0 0 0
"scaffold_18_942817_943038_-" 0 0 0 0 0
"scaffold_18_943787_944073_-" 0 1 0 0 0
"scaffold_18_945163_945249_-" 0 0 -1 0 0
"scaffold_18_955916_956010_-" 0 1 -1 0 -1
"scaffold_18_956179_956320_-" 0 1 -1 0 -1
"scaffold_18_956512_956595_-" 0 1 -1 -1 -1
"scaffold_18_1029315_1029376_-" 0 0 0 0 0
"scaffold_18_1032415_1032453_-" 0 0 0 0 0
"scaffold_18_1050079_1050097_-" 0 0 0 0 0
"scaffold_18_1106691_1106721_-" 0 0 0 0 0
"scaffold_18_1107932_1108006_-" 0 0 0 0 0
"scaffold_18_1130389_1130639_-" 0 0 0 0 0
"scaffold_18_1132614_1132787_-" 1 0 -1 0 0
"scaffold_18_1147050_1147084_-" 0 0 0 0 0
"scaffold_18_1148449_1148499_-" 0 0 0 0 0
"scaffold_18_1230669_1230902_-" 0 0 0 0 0
"scaffold_18_1271982_1272021_-" 0 0 0 0 0
"scaffold_18_1272181_1272235_-" 1 0 -1 0 0
"scaffold_18_1274132_1274234_-" 0 0 0 0 0
"scaffold_18_1280572_1280686_-" 0 0 0 0 0
"scaffold_18_1329325_1329513_-" 0 0 0 0 0
"scaffold_18_1378652_1378736_-" 0 1 0 0 0
"scaffold_18_1407746_1407808_-" 0 0 0 0 0
"scaffold_18_1408397_1408644_-" 0 0 0 0 0
"scaffold_18_1409633_1409712_-" 0 0 0 0 0
"scaffold_181_116146_116291_+" 0 0 0 0 0
"scaffold_181_133363_133417_+" 0 0 0 0 0
"scaffold_181_110563_110868_-" 0 0 0 0 0
"scaffold_181_111692_111720_-" 0 0 0 0 0
"scaffold_181_128183_128229_-" 0 0 0 0 0
"scaffold_181_132793_132844_-" 0 0 0 0 0
"scaffold_182_34575_34664_+" -1 1 1 -1 0
"scaffold_182_37416_37514_+" -1 1 0 -1 0
"scaffold_182_153327_153680_+" 0 0 0 0 0
"scaffold_182_153560_153651_+" 0 0 0 0 0
"scaffold_182_154049_154299_+" 0 0 0 0 0
"scaffold_182_154380_154840_+" 0 0 0 0 0
"scaffold_182_154750_155037_+" 0 0 0 0 0
"scaffold_182_157966_157973_+" 0 0 0 0 0
"scaffold_182_167175_167301_+" 1 -1 0 1 0
"scaffold_182_185716_185845_+" 0 0 -1 0 -1
"scaffold_182_20692_20708_-" 0 0 0 0 0
"scaffold_182_29148_29217_-" 0 0 0 0 0
"scaffold_182_29907_29958_-" 1 0 -1 0 0
"scaffold_182_34293_34371_-" 0 0 0 0 0
"scaffold_182_87703_87754_-" -1 0 1 0 0
"scaffold_182_120125_120136_-" 0 0 0 0 0
"scaffold_182_132996_133527_-" 0 0 0 0 0
"scaffold_182_138854_138920_-" 0 0 0 0 0
"scaffold_182_175238_175297_-" 0 0 0 0 0
"scaffold_182_181806_181971_-" -1 0 0 0 0
"scaffold_182_198747_198835_-" 0 0 0 0 0
"scaffold_182_203786_203910_-" 0 0 0 1 0
"scaffold_182_204078_204156_-" 0 0 0 0 0
"scaffold_182_204342_204473_-" 1 -1 0 1 0
"scaffold_1822_7233_7307_+" 0 0 0 0 0
"scaffold_1828_5633_5786_+" 0 0 0 0 0
"scaffold_183_19626_19647_+" 1 0 0 1 0
"scaffold_183_29727_29740_+" 0 0 -1 0 0
"scaffold_183_46217_46392_+" -1 0 1 -1 0
"scaffold_183_53889_54034_+" 0 0 0 0 0
"scaffold_183_55066_55186_+" -1 0 0 0 0
"scaffold_183_64245_64283_+" 0 0 0 0 0
"scaffold_183_67826_67918_+" 0 0 0 0 0
"scaffold_183_68038_68327_+" 0 0 0 0 0
"scaffold_183_133347_133649_+" 0 0 0 0 0
"scaffold_183_143682_143718_+" 0 0 0 0 0
"scaffold_183_145014_145061_+" 0 0 0 0 0
"scaffold_183_177473_177497_+" 0 0 0 0 0
"scaffold_183_189359_189489_+" 0 0 0 0 0
"scaffold_183_193543_193737_+" 0 0 0 0 0
"scaffold_183_51669_51743_-" -1 1 0 -1 0
"scaffold_183_53141_53227_-" 0 0 0 0 0
"scaffold_183_63668_63765_-" -1 1 0 -1 0
"scaffold_183_124408_124467_-" 0 0 0 0 0
"scaffold_184_66270_66475_+" 0 0 0 0 0
"scaffold_184_127442_127530_+" 0 0 0 0 0
"scaffold_184_49235_49406_-" 0 0 0 0 0
"scaffold_184_49560_49714_-" 0 0 0 0 0
"scaffold_184_49871_49988_-" 0 0 0 0 0
"scaffold_184_65508_65710_-" 0 0 0 0 0
"scaffold_184_74038_74404_-" 0 0 0 0 0
"scaffold_186_59263_59318_+" 0 0 1 0 0
"scaffold_186_102977_103177_+" 0 0 0 0 0
"scaffold_186_102902_103092_-" 0 0 0 0 0
"scaffold_187_23397_23452_+" 0 0 0 0 0
"scaffold_187_23534_23657_+" 0 0 0 0 0
"scaffold_187_26011_26220_+" 0 0 0 0 0
"scaffold_187_29559_29643_+" 0 0 0 0 0
"scaffold_187_31881_31892_+" 0 0 0 0 0
"scaffold_187_32103_32128_+" 0 0 0 0 0
"scaffold_187_32279_32378_+" 0 0 0 0 0
"scaffold_187_51391_51464_+" 0 -1 0 0 0
"scaffold_187_55716_55763_+" 1 -1 0 1 0
"scaffold_187_55913_56012_+" 1 -1 0 1 0
"scaffold_187_57625_57688_+" 1 0 0 1 0
"scaffold_187_58075_58106_+" 0 0 0 0 0
"scaffold_187_60867_60897_+" 0 0 0 0 0
"scaffold_187_95831_95864_+" 1 -1 0 1 0
"scaffold_187_96023_96116_+" 0 0 0 0 0
"scaffold_187_96274_96543_+" 1 -1 0 1 0
"scaffold_187_132920_132957_+" -1 -1 1 0 1
"scaffold_187_142889_142933_+" 0 0 0 0 0
"scaffold_187_195929_195986_+" 0 0 0 0 0
"scaffold_187_196198_196337_+" 0 0 0 0 0
"scaffold_187_20940_20964_-" 0 0 0 0 0
"scaffold_187_22383_22490_-" 0 0 0 0 0
"scaffold_187_22550_22578_-" 0 0 0 0 0
"scaffold_187_27982_28030_-" 0 0 0 0 0
"scaffold_187_28178_28271_-" 0 0 0 0 0
"scaffold_187_28407_28440_-" 0 0 0 0 0
"scaffold_187_35852_35965_-" 0 0 0 0 0
"scaffold_187_37146_37196_-" 0 0 0 0 0
"scaffold_187_37332_37374_-" 0 0 0 0 0
"scaffold_187_38938_39061_-" 0 0 0 0 0
"scaffold_187_39282_39374_-" 0 0 0 0 0
"scaffold_187_39459_39479_-" 0 0 0 0 0
"scaffold_187_40707_40771_-" 0 0 0 0 0
"scaffold_187_40971_41049_-" 0 0 0 0 0
"scaffold_187_41177_41205_-" 0 0 0 0 0
"scaffold_187_43815_43867_-" 0 0 0 0 0
"scaffold_187_45306_45322_-" 0 0 0 0 0
"scaffold_187_45674_45713_-" 0 0 0 0 0
"scaffold_187_47095_47221_-" 0 -1 1 0 0
"scaffold_187_47369_47437_-" 0 0 0 0 0
"scaffold_187_67022_67127_-" 0 0 0 0 0
"scaffold_187_67588_67628_-" 0 0 0 0 0
"scaffold_187_71699_71718_-" 0 0 0 0 0
"scaffold_187_80978_81247_-" 0 -1 0 0 0
"scaffold_187_81598_81671_-" 0 0 0 0 0
"scaffold_187_85623_85691_-" 1 -1 0 1 0
"scaffold_187_89622_89952_-" 1 -1 0 1 0
"scaffold_187_90055_90147_-" 1 -1 0 1 0
"scaffold_187_90307_90357_-" 0 -1 0 1 0
"scaffold_187_174140_174269_-" -1 0 0 0 0
"scaffold_187_175583_175786_-" 1 0 0 0 0
"scaffold_187_191407_191645_-" 1 -1 0 1 0
"scaffold_187_191828_191868_-" 1 -1 -1 1 0
"scaffold_188_148788_148825_+" -1 0 1 -1 1
"scaffold_188_149028_149186_+" -1 0 1 0 1
"scaffold_188_82953_82979_-" 0 0 0 0 0
"scaffold_188_154075_154137_-" 0 0 0 0 0
