"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_1_1986595_1986722_+" 0 0 0 0 0
"scaffold_1_1986815_1986962_+" 0 0 0 0 0
"scaffold_1_1987218_1987316_+" 0 0 0 0 0
"scaffold_1_1987396_1987728_+" 0 0 0 0 0
"scaffold_1_1988788_1989034_+" 1 0 0 1 0
"scaffold_1_2020104_2020201_+" 0 0 0 0 0
"scaffold_1_2024485_2024557_+" 0 0 0 0 0
"scaffold_1_2034981_2035115_+" 0 0 0 0 0
"scaffold_1_2045687_2045780_+" 0 0 0 0 0
"scaffold_1_2060774_2060895_+" 0 0 0 0 0
"scaffold_1_2083407_2083679_+" 0 0 0 0 0
"scaffold_1_2087897_2088090_+" 0 0 0 0 0
"scaffold_1_2092202_2092368_+" 0 0 0 0 0
"scaffold_1_2096642_2096809_+" 0 0 0 0 0
"scaffold_1_2180752_2180834_+" 1 0 -1 0 0
"scaffold_1_2180914_2181016_+" 1 0 0 0 0
"scaffold_1_2200276_2200368_+" 0 0 0 0 0
"scaffold_1_2203824_2203984_+" 0 0 0 0 0
"scaffold_1_2240868_2240989_+" 0 0 0 0 0
"scaffold_1_2278240_2278426_+" 0 0 0 0 0
"scaffold_1_2286505_2286592_+" 0 0 0 0 0
"scaffold_1_2291985_2292160_+" 0 0 0 0 0
"scaffold_1_2298509_2298582_+" 1 0 -1 0 0
"scaffold_1_2312408_2312524_+" 0 0 0 0 0
"scaffold_1_2332242_2332385_+" -1 0 0 0 0
"scaffold_1_2332729_2332792_+" 0 0 0 0 0
"scaffold_1_2364102_2364318_+" 0 0 0 0 0
"scaffold_1_2379025_2379193_+" 0 0 0 0 0
"scaffold_1_2412524_2412707_+" 0 0 0 0 0
"scaffold_1_2477211_2477265_+" 0 0 0 0 0
"scaffold_1_2536673_2536766_+" -1 0 0 0 0
"scaffold_1_2548194_2548451_+" 0 0 0 0 0
"scaffold_1_2558276_2558352_+" 0 -1 1 0 0
"scaffold_1_2570348_2570516_+" 0 0 0 0 0
"scaffold_1_2585690_2585836_+" 0 0 0 0 0
"scaffold_1_2587940_2587965_+" 0 0 0 0 0
"scaffold_1_2637072_2637203_+" 0 0 0 0 0
