"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_36_968303_968908_-" 9.34417161307409 9.19354540516652 88.4553513192286 5.49543357247855e-22 4.37553724631616e-19 39.0894634438649
"scaffold_70_606152_606414_+" 9.73860134143406 10.3197394212888 88.3928584341908 5.55450649834715e-22 4.37553724631616e-19 39.1801749733029
"scaffold_211_113313_113872_-" 9.92489520080733 10.1890296852639 88.0231672081116 5.91810099343012e-22 4.57870792216703e-19 39.1792801774246
"scaffold_25_671466_671814_-" 9.89157158836322 9.91797924490857 87.7898823802144 6.16053220518368e-22 4.65016569788618e-19 39.1420106023508
"scaffold_58_468075_468360_-" 9.94390528141879 9.77567996429145 87.7293790881282 6.22512141617962e-22 4.65016569788618e-19 39.1471602966943
"scaffold_95_230125_230376_-" 10.6715373303717 10.5764163539628 87.4518456086316 6.53078521914498e-22 4.79581017635043e-19 39.2695124011442
"scaffold_1_2364079_2364582_+" 9.69411478229622 9.77503908529559 87.3422982706407 6.65580495320223e-22 4.80615675670733e-19 39.0399006169346
"scaffold_143_83277_84354_+" 9.76948609304765 10.3126624141163 86.7613368036001 7.36286595574064e-22 5.22956607210523e-19 38.9846415707906
"scaffold_143_210041_211059_+" 10.2554042145193 9.89584839689493 86.6099199316595 7.56001533702503e-22 5.28298749180559e-19 39.0736575168305
"scaffold_1_1000289_1001526_+" 9.84997321145212 9.92884166358958 86.2553745539875 8.04399535402968e-22 5.53197051918555e-19 38.938306049033
"scaffold_15_19134_19986_+" 9.31822143698789 8.93007501640944 85.8530742498817 8.63345806918159e-22 5.84458131727127e-19 38.7615621490444
"scaffold_12_882152_883048_+" 9.65632937858709 10.0837089966651 85.5044205378783 9.18160020153867e-22 6.12003092818253e-19 38.7983529905152
"scaffold_32_35276_35820_-" 9.43313097185098 9.43737762980822 85.3992803665571 9.35408874017841e-22 6.1405340720753e-19 38.7319744833377
"scaffold_17_1054571_1055277_+" 9.54780499873284 9.49076762885229 84.9273205325886 1.01720384088935e-21 6.57781695677195e-19 38.6980554756805
"scaffold_39_606366_608030_+" 10.092158493406 9.47279461289799 84.7659926890685 1.04688479019084e-21 6.6701956499718e-19 38.7980844588134
"scaffold_15_265984_266312_-" 10.2215848858575 10.6736266601069 84.0957617839874 1.18044750261381e-21 7.37368442080568e-19 38.7356286903925
"scaffold_1_2794885_2795524_-" 9.47766664177457 9.57815359063707 83.9672027375518 1.20808253238714e-21 7.37368442080568e-19 38.5557973939241
"scaffold_5_1022564_1022875_+" 10.2573154515392 9.9173659035277 83.9659539788814 1.20835432275586e-21 7.37368442080568e-19 38.724195964509
"scaffold_1_562332_563168_+" 10.9560676942275 10.249305719241 83.4708099071115 1.32143494833258e-21 7.92474795392724e-19 38.7891128730776
"scaffold_86_318044_318373_-" 10.1626918795578 8.82093257962265 83.4134708054614 1.33524119613324e-21 7.92474795392724e-19 38.6303261050867
"scaffold_51_64307_65486_+" 9.5147182459421 10.1316987240408 83.1475768416776 1.4013037929281e-21 8.20444434221658e-19 38.455704042057
"scaffold_44_42006_42440_+" 9.02891353907031 9.03886026547347 82.8288918581475 1.48510437385834e-21 8.4296154075476e-19 38.2984624100801
"scaffold_220_73953_75332_+" 10.7957885541632 11.0818676252185 82.7838832099523 1.49736371984474e-21 8.4296154075476e-19 38.6632930000036
"scaffold_24_1295645_1296113_+" 12.084841133369 12.2997190691113 82.7810780504813 1.49813134464563e-21 8.4296154075476e-19 38.8752447366675
"scaffold_155_211572_212202_-" 10.0579154181771 9.41061570326931 82.1453271361585 1.68341167645644e-21 9.35070439668612e-19 38.4345610561467
"scaffold_109_346989_347546_-" 11.257814323515 11.8507588702299 81.8114295419897 1.7903722054525e-21 9.75126728090664e-19 38.6044560471115
"scaffold_88_309437_310641_+" 10.9658300012113 11.3724668779787 81.780283987182 1.80071239704506e-21 9.75126728090664e-19 38.5508842039838
"scaffold_111_33869_34224_+" 8.94257089072028 8.56582076249449 81.7136605817106 1.82304539942168e-21 9.75126728090664e-19 38.1278830324988
"scaffold_14_1305317_1305377_-" 11.275299191247 11.1814653076577 81.6135980029946 1.85714405043858e-21 9.81251501576852e-19 38.577305915904
"scaffold_3_1714180_1715081_+" 8.99116539179229 8.71425979123355 81.5117085963616 1.89256469390476e-21 9.87918770218285e-19 38.1123284636681
"scaffold_238_23773_25009_+" 10.8429371583397 10.1900266254075 81.3002579298034 1.96839145415927e-21 1.000680739383e-18 38.4609326026387
"scaffold_11_43681_44289_+" 9.64496407254188 9.08466442421237 81.265774208115 1.98106147878031e-21 1.000680739383e-18 38.2266048162383
"scaffold_24_557143_558207_-" 9.20720938343285 9.75872931384508 81.2515784182825 1.98630253397355e-21 1.000680739383e-18 38.1279568630717
"scaffold_505_22498_23120_+" 9.00638702562404 8.86804011320167 80.4253259600226 2.31834191983911e-21 1.1417904999703e-18 37.9667071827003
"scaffold_14_1287314_1288030_-" 11.2982635164668 10.5665691808437 80.3661266918061 2.34430272332711e-21 1.1417904999703e-18 38.3971716279229
"scaffold_25_816038_816616_-" 9.71939099878056 9.67456145530571 80.363506384277 2.3454589506845e-21 1.1417904999703e-18 38.1132199028971
"scaffold_100_289625_289937_-" 9.61222456956243 10.1448022483552 80.2223778062456 2.40863970095722e-21 1.15209601050616e-18 38.0723659037008
"scaffold_73_560098_560461_-" 9.47297820590434 9.50215796569319 80.1727319688121 2.43129449844156e-21 1.15209601050616e-18 38.0357358435034
"scaffold_1_262517_263282_-" 9.16326113354251 8.59382241869257 80.1398975760648 2.4464024596447e-21 1.15209601050616e-18 37.9621428872798
"scaffold_8_1453331_1453807_-" 8.65114119297511 8.64991480007825 79.7998878123697 2.60886636316931e-21 1.20255275910193e-18 37.794898007387
"scaffold_100_116966_117492_+" 9.69131196761868 10.2373419539707 79.6882965839771 2.66466299429107e-21 1.20255275910193e-18 38.0117516840215
"scaffold_12_1517356_1519655_+" 9.72488887015478 9.76393165768422 79.6308219026484 2.69389586938412e-21 1.20255275910193e-18 38.0094776023482
"scaffold_87_167469_168805_+" 9.05128046065643 9.26638067954037 79.6101871293444 2.70447439343658e-21 1.20255275910193e-18 37.8627971560351
"scaffold_15_375357_375843_+" 8.91067001698889 8.72016165309044 79.5967339498361 2.7113950725076e-21 1.20255275910193e-18 37.8280177057827
"scaffold_65_202607_205843_+" 9.08181403392306 9.7208819980156 79.5468304049338 2.73723213624124e-21 1.20255275910193e-18 37.8609819673963
"scaffold_2_2082417_2082692_-" 8.91194038958542 8.69501796794525 79.5264953383771 2.74783555258022e-21 1.20255275910193e-18 37.818616626399
"scaffold_77_135848_136731_-" 10.2386578975093 10.026466591894 79.4582970523336 2.78371732725383e-21 1.20607336920599e-18 38.0833950421948
"scaffold_10_1391080_1392257_-" 9.34390493774051 8.71090786090458 78.6641952756821 3.24032667641541e-21 1.39000389685519e-18 37.7908830699242
"scaffold_43_742217_742917_-" 8.73208593961298 8.4053597787105 78.4265196590974 3.39203813409938e-21 1.43348746199776e-18 37.6205918697968
"scaffold_15_1441601_1441928_-" 8.79416792115979 8.74785045219054 78.4023782588733 3.40786614471148e-21 1.43348746199776e-18 37.6316063666575
"scaffold_90_468748_469791_+" 9.04582744903543 9.43007901374619 78.0538341750372 3.64537130133239e-21 1.51864766347622e-18 37.6377838962054
"scaffold_61_233261_233938_+" 9.14475103815962 9.02563092898909 77.948058394988 3.72089195044186e-21 1.5353463299509e-18 37.6438104168474
"scaffold_3_464316_464822_-" 10.7246381074846 9.71353264846715 77.8586670050887 3.78601494828414e-21 1.5354763378646e-18 37.9257403140311
"scaffold_66_489250_491150_+" 9.70792078276851 9.94638966965026 77.8504156206569 3.79208715670757e-21 1.5354763378646e-18 37.7448400940812
"scaffold_2_1465538_1465921_-" 8.68427713175203 8.74019770982455 77.4941298806007 4.06443770962466e-21 1.63051692784443e-18 37.4745855930048
"scaffold_1_3780254_3780649_+" 9.11436008798619 8.49666205489029 77.3962399132939 4.14286435626993e-21 1.64673156972249e-18 37.5560707335088
"scaffold_48_43600_45067_+" 8.92844557837359 8.75616181881147 77.2858377825705 4.23325497793591e-21 1.66736368340047e-18 37.4979899188333
"scaffold_75_10985_11414_+" 8.90638692148994 8.40109871008215 77.0346795011578 4.44681239147458e-21 1.72729163046652e-18 37.4563355319891
"scaffold_3_3654875_3655425_-" 10.8708193115913 10.7821287946443 77.0137266445415 4.46514016092533e-21 1.72729163046652e-18 37.8177785926177
"scaffold_8_2000453_2001090_-" 9.59441664576939 9.05661686571668 76.9164582136151 4.55128295811949e-21 1.74503438445562e-18 37.5814858123219
"scaffold_182_29856_30111_-" 9.80518288218779 9.29378089045422 76.7593925943659 4.6941441707374e-21 1.76770764654204e-18 37.5968011396895
"scaffold_35_377770_378149_-" 9.00563460044556 9.41947452296857 76.7345211010987 4.71720130535387e-21 1.76770764654204e-18 37.4338022855869
"scaffold_3_3490003_3490455_-" 8.94455920727489 9.17363147876071 76.6826289433967 4.76569752639374e-21 1.76770764654204e-18 37.4131897426934
"scaffold_6_1142879_1143200_+" 10.444907298498 7.99675597209149 76.674206811317 4.77361848879237e-21 1.76770764654204e-18 37.6964147647964
"scaffold_19_598585_599649_-" 10.0866234768191 10.5939616005657 76.5218733530456 4.91933572626538e-21 1.80622999725571e-18 37.6113334409978
"scaffold_11_1399579_1400131_+" 10.040016272369 8.94203507119889 76.261935022414 5.17904249594933e-21 1.88268605108615e-18 37.5629564528768
"scaffold_25_1063752_1064202_+" 8.76916612315072 9.16684915176136 76.227551848411 5.21447459101551e-21 1.88268605108615e-18 37.3057330959313
"scaffold_3_2891926_2892259_+" 8.7148138695045 8.51593385325284 76.0898996858788 5.35893506387864e-21 1.89837312252147e-18 37.2728745217818
"scaffold_49_730664_730860_-" 8.562015976196 8.42288627900913 76.0841723596154 5.36503734767836e-21 1.89837312252147e-18 37.237908781523
"scaffold_10_881431_881933_+" 9.26486002903781 10.2107167818236 76.06140260983 5.38937114135024e-21 1.89837312252147e-18 37.3856716039696
"scaffold_19_1112303_1112567_+" 11.1866833173121 10.8772309866355 75.9475444772256 5.51282756503139e-21 1.91533436723275e-18 37.6939758622502
"scaffold_25_741918_742040_-" 9.00649824477751 7.00077357693034 75.8771401483546 5.59067250143004e-21 1.91533436723275e-18 37.3043731567059
"scaffold_25_1055787_1058072_+" 9.32357217594125 9.4429078485057 75.8674491786333 5.60147904765162e-21 1.91533436723275e-18 37.3664895728989
"scaffold_136_255375_255877_-" 8.89322599414042 9.01759295578411 75.8557834808941 5.61451718150425e-21 1.91533436723275e-18 37.2773940648302
"scaffold_53_463518_463877_-" 8.97460935115822 8.77688342938635 75.8165886018629 5.65856065655247e-21 1.91533436723275e-18 37.2887881691743
"scaffold_4_1294866_1295787_+" 9.10316884472787 9.59535834150626 75.4635104609016 6.07232519336699e-21 2.03945396378154e-18 37.2608623592341
"scaffold_2_3543380_3544004_-" 9.53119056770208 10.1463576910104 74.9834591115074 6.68737505093545e-21 2.21954618191381e-18 37.2696160050337
"scaffold_83_142194_142742_+" 9.54601721312222 9.78794714277763 74.9659739195114 6.71099454901695e-21 2.21954618191381e-18 37.2700565071508
"scaffold_13_839489_840068_+" 8.53784993952202 8.41948698026433 74.888591979077 6.81659688334266e-21 2.23739300430079e-18 37.0517556934141
"scaffold_17_1160187_1160846_+" 8.5873646950754 8.28276450655437 74.6488729202484 7.15513347243921e-21 2.33085197614211e-18 37.0257658277488
"scaffold_20_951702_952594_+" 12.251336652449 11.5228300743739 74.47967211288 7.40484665599631e-21 2.39419691207236e-18 37.5871862864919
"scaffold_4175_403_689_+" 8.644098503987 8.25371768759471 74.3835061685262 7.55089807674627e-21 2.42333488943044e-18 36.9969727670346
"scaffold_2_799809_800675_-" 8.92940309660407 9.24772077535377 74.2904669424886 7.69512604235925e-21 2.45146346258277e-18 37.0417587585278
"scaffold_63_682081_682634_-" 8.77853705701201 8.035623711615 74.1995220862054 7.8389482155569e-21 2.47399422106626e-18 36.9972566968956
"scaffold_61_668728_669625_-" 9.53361745169719 9.9687360994798 74.1738559390359 7.88005360539039e-21 2.47399422106626e-18 37.140952935359
"scaffold_15_353013_353115_+" 9.15224759722009 8.9270456174785 74.0959831485015 8.0061821447566e-21 2.49550969499082e-18 37.0565436695535
"scaffold_19_1149494_1149827_-" 9.41126189936581 9.55172359635536 73.9226364469879 8.29473867327894e-21 2.56698462684631e-18 37.0782816714915
"scaffold_4_1298938_1299113_-" 8.80290676782603 8.45989490745516 73.840610066031 8.43512675090879e-21 2.57535270387171e-18 36.9456506656612
"scaffold_15_18830_19229_-" 8.44236197007641 8.32214809840481 73.83740629913 8.44066112610864e-21 2.57535270387171e-18 36.8675342176311
"scaffold_69_409855_411322_+" 9.05690971148033 9.59688511038205 73.6594081865998 8.7543094249173e-21 2.63398049559689e-18 36.9681595514981
"scaffold_23_321341_321539_+" 10.1664862484155 10.3484386371523 73.6411240312955 8.78722423228133e-21 2.63398049559689e-18 37.162458455004
"scaffold_2_1798463_1798747_-" 10.6425731128991 10.1825388133004 73.6256431422101 8.81519576839655e-21 2.63398049559689e-18 37.2331750778609
"scaffold_42_861547_861831_-" 8.70022815658621 9.29680026899147 73.4748270458921 9.09271592758635e-21 2.69829459094936e-18 36.8667992798196
"scaffold_64_575510_576293_+" 8.63381016640841 8.50366351316312 73.2952153257766 9.43542468017628e-21 2.75539035921165e-18 36.8241988696232
"scaffold_22_229684_230487_-" 9.18190296117661 9.39815169881171 73.288030937936 9.44941608047635e-21 2.75539035921165e-18 36.9321539801247
"scaffold_107_73491_73581_-" 9.38465515614063 8.57877193175751 73.2744590258737 9.47590738869354e-21 2.75539035921165e-18 36.9685237126431
"scaffold_43_581059_583248_-" 9.16158727468566 8.52759894141203 73.1170601447876 9.78898625410723e-21 2.82745078963633e-18 36.9012958986098
"scaffold_29_942849_943693_+" 8.55794275162398 9.44166099721148 73.0583589120951 9.90855444003554e-21 2.84303330906609e-18 36.7698684167519
"scaffold_42_775150_775359_+" 8.31494885426788 8.1369322290693 72.8656530178359 1.03121431626156e-20 2.93936785962817e-18 36.6867256858741
"scaffold_48_133357_134107_-" 8.47361616392135 7.82973887056998 72.7879280016336 1.04798513226882e-20 2.9676473098483e-18 36.7081775522112
"scaffold_83_272252_272809_-" 11.5331476283548 12.7084578886089 72.7219052792913 1.06245930296374e-20 2.98909816624722e-18 37.1990826356238
"scaffold_67_469500_469830_+" 10.8005769773759 9.8677942630064 72.6837626231796 1.07091829958578e-20 2.99345846760346e-18 37.0965985309363
"scaffold_262_32426_33264_+" 9.04285285368885 9.52167172003599 72.608861109124 1.08773899502074e-20 3.02098587809414e-18 36.795519126472
"scaffold_8_1560431_1560814_-" 8.70993587338202 9.15541612922857 72.3888647560866 1.13879237617209e-20 3.10553275606755e-18 36.694390248402
"scaffold_1_3773641_3773902_+" 8.60445191198076 8.52090763612884 72.3853749882301 1.13962251667781e-20 3.10553275606755e-18 36.671624767931
"scaffold_13_1396965_1397708_+" 8.56926959835786 7.84850659841866 72.385114512795 1.13968450402701e-20 3.10553275606755e-18 36.6644734729663
"scaffold_211_86097_86285_+" 10.9261549464551 10.1291725430337 72.1993086886813 1.18483124428301e-20 3.20837490561285e-18 37.0294702123627
"scaffold_10_1904540_1904945_-" 9.56397465737377 7.21276647552387 72.158620553491 1.19496970249183e-20 3.2157302689541e-18 36.8159146528174
"scaffold_106_236775_236897_-" 9.58765577683103 10.0302326076464 72.065484125599 1.2185266598434e-20 3.25888185582563e-18 36.8046656062274
"scaffold_25_814145_814933_-" 8.66262179882183 8.9205551141394 72.0178465332154 1.2307664920456e-20 3.27142264014527e-18 36.6244005477228
"scaffold_17_392265_392739_-" 8.3269314397254 8.562784105004 71.6840479727716 1.32029496272531e-20 3.48799387530713e-18 36.4995839150467
"scaffold_23_386473_386589_+" 9.57365587010928 8.94827974347115 71.5065462911278 1.37070753109563e-20 3.59154721828899e-18 36.7077299118743
"scaffold_138_306155_306304_+" 9.26321501079873 9.72699094687953 71.46404589689 1.38308002906074e-20 3.59154721828899e-18 36.6468139730191
"scaffold_65_156469_157117_+" 8.12788978830675 8.12208484082197 71.4596677454148 1.38436131988705e-20 3.59154721828899e-18 36.419265453993
"scaffold_3_1770257_1770560_+" 8.28459838508894 8.07585983737553 71.3316216512482 1.42239989108673e-20 3.66826771912047e-18 36.4318244325077
"scaffold_46_49177_49814_-" 8.05329833133432 8.15660498400641 71.2828594407445 1.43717719810024e-20 3.68444611153201e-18 36.373947898167
"scaffold_11_1888632_1888812_+" 9.02086504557975 9.42021811648248 71.2037224184679 1.46150888169248e-20 3.7247843416593e-18 36.55875345234
"scaffold_60_11377_12994_-" 9.86678961557567 10.0922444929464 71.0885036096249 1.49772247394429e-20 3.79475578398306e-18 36.6843160855636
"scaffold_13_234230_234372_+" 10.4335559370589 10.0458999768319 71.0185369987121 1.52017892854593e-20 3.82926001501053e-18 36.7554164668046
"scaffold_70_34929_35963_+" 8.58067069032764 8.83616586108381 70.9124697941947 1.5549092555314e-20 3.89410395405511e-18 36.4247776072098
"scaffold_19_624289_624396_+" 8.90504258304666 8.79166869360313 70.8486299597931 1.57621966789326e-20 3.92478697305421e-18 36.4772256760454
"scaffold_61_330584_331141_-" 8.58883625696289 8.14766192652458 70.7604820933739 1.60615745900352e-20 3.96869186918334e-18 36.4002970527464
"scaffold_10851_2_1112_+" 9.33385492200518 8.94714013041903 70.7429835264064 1.6121722960261e-20 3.96869186918334e-18 36.5353614619957
"scaffold_96_117792_117987_+" 9.35932139667715 10.2099149884042 70.6793057309164 1.63426390547698e-20 3.96908353899814e-18 36.5304016265648
"scaffold_61_460645_461323_-" 8.05486233856934 8.07464357135328 70.6772716508939 1.63497488075909e-20 3.96908353899814e-18 36.2753297357457
"scaffold_51_840431_840874_+" 9.04201444234169 9.00427074409186 70.6634511435224 1.63981432276385e-20 3.96908353899814e-18 36.4712384294895
"scaffold_1_1868001_1868471_-" 8.90569885486767 9.02214426303244 70.5721419928835 1.67217360370969e-20 4.02492186412923e-18 36.4309461165954
"scaffold_67_599009_599049_-" 8.44088397578233 8.06579151499318 70.4662330427225 1.71056156674796e-20 4.09457405750952e-18 36.3218374966433
"scaffold_21_1143237_1143690_-" 9.08531645366919 9.27289328428535 70.3942227321937 1.73719831012336e-20 4.13548648265961e-18 36.4331060778814
"scaffold_58_313560_313893_-" 8.29871135456332 8.31037186518819 70.2425759553016 1.79474937437049e-20 4.24914269912435e-18 36.2548339228047
"scaffold_23_663733_663967_-" 8.54615409649902 8.53176161972462 70.2045880146172 1.80948209065148e-20 4.25477391260624e-18 36.298716814172
"scaffold_4_129309_129731_-" 11.3216711629888 10.8681053095462 70.1859215245875 1.81676862353357e-20 4.25477391260624e-18 36.7220722660239
"scaffold_1714_3364_3805_-" 9.00257308628862 9.44911813712029 70.0201809336196 1.88285454168765e-20 4.38583633726662e-18 36.3542151625533
"scaffold_62_600508_600968_-" 9.13331506532786 8.61708355220292 69.9735705553238 1.90189772015933e-20 4.40650377666434e-18 36.3694932387475
"scaffold_79_359628_359749_+" 8.86429058576798 8.30616159281279 69.9479570013335 1.91244972065222e-20 4.40738279771161e-18 36.3160684506972
"scaffold_18_1288994_1289441_+" 9.44677147432652 9.55678959309033 69.7390883457836 2.0008623157523e-20 4.58595606602785e-18 36.3802003295725
"scaffold_299_59931_60161_-" 8.51852599672897 7.6381432658673 69.7099131655246 2.0135546341368e-20 4.58595606602785e-18 36.2098472107991
"scaffold_51_646945_647090_+" 9.60337461306707 10.0784028686685 69.6913146624983 2.02169045979624e-20 4.58595606602785e-18 36.3983848801816
"scaffold_62_735076_735297_-" 8.94659145552987 8.31255852558101 69.6399215656369 2.0443548304361e-20 4.60782769548359e-18 36.278172643688
"scaffold_142_204257_204442_-" 9.18109888910614 9.68145467222896 69.6213689551188 2.05260292948422e-20 4.60782769548359e-18 36.3151494167614
"scaffold_87_476928_477670_+" 8.12404227688767 8.90742841570291 69.4380960863915 2.13601440246116e-20 4.77035876293981e-18 36.0828307881369
"scaffold_2_2520430_2521200_+" 8.06518565933937 7.19400611930965 69.4039888084759 2.1519322362683e-20 4.78126236249027e-18 36.0642756639043
