Promoter_ID	mat_fem_1	mat_fem_2	mat_fem_3	mat_male_1	mat_male_2	pE_1	pE_2	pE_3	mat_fem average	mat_fem_SEM	mat_male_average	mat_male_SEM	pE_average	pE_SEM	MF_v_M_FC	pEv_MF_FC	M_v_pE	MF_v_Sexuals
scaffold_13_632607_632740_+	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	34.74397779	29.2171394	29.99730183	1.39E-17	0.00E+00	1.39E-17	0.00E+00	31.31947301	1.727000107	0	18.35279965	-18.35279965	-18.05176965
scaffold_13_632875_632922_+	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	321.0777603	153.1846175	96.40758309	1.39E-17	0.00E+00	1.39E-17	0.00E+00	190.2233203	67.44892206	0	19.13624896	-19.13624896	-18.83521896
scaffold_13_633019_633067_+	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	30.73429124	11.19561914	12.69054501	1.39E-17	0.00E+00	1.39E-17	0.00E+00	18.20681846	6.278584805	0	18.11721926	-18.11721926	-17.81618927
scaffold_13_633248_633283_+	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	66.08867735	42.09250074	27.78421703	1.39E-17	0.00E+00	1.39E-17	0.00E+00	45.32179837	11.17481085	0	18.51329233	-18.51329233	-18.21226234
scaffold_13_634720_634883_-	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	99.83930986	42.90666386	30.25548513	1.39E-17	0.00E+00	1.39E-17	0.00E+00	57.66715295	21.4000093	0	18.61791371	-18.61791371	-18.31688371
scaffold_13_634992_635101_-	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	585.3543499	307.8774684	406.8885797	1.39E-17	0.00E+00	1.39E-17	0.00E+00	433.373466	81.18793392	0	19.49384752	-19.49384752	-19.19281752
scaffold_13_635196_635287_-	0	4.968114588	0	1.39E-17	1.39E-17	1105.759499	549.0393252	297.7711674	1.66E+00	1.66E+00	1.39E-17	0.00E+00	650.8566639	238.7372083	17.07605555	2.594415006	-19.67047056	-2.293385011
scaffold_13_635408_635499_-	14.00708996	96.5864587	50.06765713	45.74263558	34.08692415	24269.64821	17067.8162	21036.50775	5.36E+01	2.39E+01	3.99E+01	5.83E+00	20791.32405	2082.601127	0.127656029	2.58909238	-2.716748409	-2.288895335
